Fold 0
train run device : cuda:0
{'epoch': 96, 'lr': 0.0005438372523852832, 'train_loss': 0.0009962100240619787, 'mae': 0.20367827, 'elapsed_time': 116.79594492912292}
{'epoch': 97, 'lr': 0.00053608130716701, 'train_loss': 0.0009728820167476962, 'mae': 0.21574818, 'elapsed_time': 116.7594141960144}
{'epoch': 98, 'lr': 0.0005283176931012729, 'train_loss': 0.0010817571135202017, 'mae': 0.2413287, 'elapsed_time': 116.49205088615417}
{'epoch': 99, 'lr': 0.0005205483257436734, 'train_loss': 0.0009891833080567611, 'mae': 0.21583949, 'elapsed_time': 116.04772114753723}
{'epoch': 100, 'lr': 0.0005127751220693511, 'train_loss': 0.000992340155839525, 'mae': 0.20864695, 'elapsed_time': 116.30961751937866}
{'epoch': 101, 'lr': 0.0005049999999999998, 'train_loss': 0.0009328888124379597, 'mae': 0.2027188, 'elapsed_time': 116.24223828315735}
{'epoch': 102, 'lr': 0.0004972248779306486, 'train_loss': 0.0009563186733611298, 'mae': 0.21521534, 'elapsed_time': 115.93404579162598}
{'epoch': 103, 'lr': 0.0004894516742563262, 'train_loss': 0.0009609225823872922, 'mae': 0.26792616, 'elapsed_time': 116.15711617469788}
{'epoch': 104, 'lr': 0.00048168230689872663, 'train_loss': 0.001159799636160798, 'mae': 0.21939339, 'elapsed_time': 116.12572884559631}
{'epoch': 105, 'lr': 0.0004739186928329896, 'train_loss': 0.0009247296494095432, 'mae': 0.19682455, 'elapsed_time': 116.13073420524597}
{'epoch': 106, 'lr': 0.00046616274761471655, 'train_loss': 0.0009309507490458513, 'mae': 0.19823629, 'elapsed_time': 116.32570028305054}
{'epoch': 107, 'lr': 0.0004584163849073352, 'train_loss': 0.0008907719485022281, 'mae': 0.35470495, 'elapsed_time': 116.2043776512146}
{'epoch': 108, 'lr': 0.0004506815160099324, 'train_loss': 0.0009669222767144501, 'mae': 0.19518125, 'elapsed_time': 116.35494446754456}
{'epoch': 109, 'lr': 0.0004429600493856693, 'train_loss': 0.0008279160756279571, 'mae': 0.19842707, 'elapsed_time': 116.11992073059082}
{'epoch': 110, 'lr': 0.00043525389019089656, 'train_loss': 0.0008523760630080761, 'mae': 0.19876368, 'elapsed_time': 116.27660822868347}
{'epoch': 111, 'lr': 0.0004275649398050856, 'train_loss': 0.0008123266843324706, 'mae': 0.20253572, 'elapsed_time': 116.20465183258057}
{'epoch': 112, 'lr': 0.0004198950953616921, 'train_loss': 0.0008122011322979899, 'mae': 0.19535464, 'elapsed_time': 116.27011036872864}
{'epoch': 113, 'lr': 0.0004122462492800662, 'train_loss': 0.0010922508246362249, 'mae': 0.20365864, 'elapsed_time': 116.22383260726929}
{'epoch': 114, 'lr': 0.0004046202887985263, 'train_loss': 0.0008198349727373237, 'mae': 0.19302014, 'elapsed_time': 116.33866930007935}
{'epoch': 115, 'lr': 0.0003970190955087115, 'train_loss': 0.0007649641934562551, 'mae': 0.18973203, 'elapsed_time': 116.36204099655151}
{'epoch': 116, 'lr': 0.0003894445448913267, 'train_loss': 0.000743733165999214, 'mae': 0.19302043, 'elapsed_time': 116.19929099082947}
